date,model,temperature,cover_story,modus_ponens,modus_tollens,affirming_the_consequent,denying_the_antecedent
2024-02-20~18:21:22,gpt-4-1106-preview,0.5,task_1.txt,0,1,1,0
2024-02-20~18:21:25,gpt-4-1106-preview,0.5,task_1.txt,0,1,1,0
2024-02-20~18:21:30,gpt-4-1106-preview,0.5,task_1.txt,0,1,1,0
2024-02-20~18:21:31,gpt-4-1106-preview,0.5,task_1.txt,0,1,1,0
2024-02-20~18:21:33,gpt-4-1106-preview,0.5,task_1.txt,0,1,1,0
2024-02-20~18:21:35,gpt-4-1106-preview,0.5,task_1.txt,0,1,1,0
2024-02-20~18:21:37,gpt-4-1106-preview,0.5,task_1.txt,0,1,1,0
2024-02-20~18:21:40,gpt-4-1106-preview,0.5,task_1.txt,0,1,1,0
2024-02-20~18:21:42,gpt-4-1106-preview,0.5,task_1.txt,0,1,1,0
2024-02-20~18:21:45,gpt-4-1106-preview,0.5,task_1.txt,0,1,1,0
2024-02-20~18:21:46,gpt-4-1106-preview,0.5,task_1.txt,0,1,1,0
2024-02-20~18:21:47,gpt-4-1106-preview,0.5,task_1.txt,0,1,1,0
2024-02-20~18:21:50,gpt-4-1106-preview,0.5,task_1.txt,0,1,1,0
2024-02-20~18:21:53,gpt-4-1106-preview,0.5,task_1.txt,0,1,1,0
2024-02-20~18:21:55,gpt-4-1106-preview,0.5,task_1.txt,0,1,0,0
2024-02-20~18:21:58,gpt-4-1106-preview,0.5,task_1.txt,0,1,1,0
2024-02-20~18:21:59,gpt-4-1106-preview,0.5,task_1.txt,0,1,1,0
2024-02-20~18:22:01,gpt-4-1106-preview,0.5,task_1.txt,0,1,1,0
2024-02-20~18:22:02,gpt-4-1106-preview,0.5,task_1.txt,0,1,1,0
2024-02-20~18:22:04,gpt-4-1106-preview,0.5,task_1.txt,0,1,1,0
2024-02-20~18:22:06,gpt-4-1106-preview,0.5,task_1.txt,0,1,1,0
2024-02-20~18:22:08,gpt-4-1106-preview,0.5,task_1.txt,0,1,1,0
2024-02-20~18:22:10,gpt-4-1106-preview,0.5,task_1.txt,0,1,1,0
2024-02-20~18:22:12,gpt-4-1106-preview,0.5,task_1.txt,0,1,1,0
2024-02-20~18:22:14,gpt-4-1106-preview,0.5,task_1.txt,0,1,1,0
2024-02-20~18:22:17,gpt-4-1106-preview,0.5,task_1.txt,0,1,1,0
2024-02-20~18:22:19,gpt-4-1106-preview,0.5,task_1.txt,0,1,1,0
2024-02-20~18:22:21,gpt-4-1106-preview,0.5,task_1.txt,0,1,1,0
2024-02-20~18:22:25,gpt-4-1106-preview,0.5,task_1.txt,0,1,1,0
2024-02-20~18:22:25,gpt-3.5-turbo-1106,0.5,task_2.txt,0,0,0,0
2024-02-20~18:22:26,gpt-3.5-turbo-1106,0.5,task_2.txt,0,0,0,0
2024-02-20~18:22:27,gpt-3.5-turbo-1106,0.5,task_2.txt,0,0,0,0
2024-02-20~18:22:29,gpt-3.5-turbo-1106,0.5,task_2.txt,0,0,1,0
2024-02-20~18:22:30,gpt-3.5-turbo-1106,0.5,task_2.txt,0,0,1,0
2024-02-20~18:22:30,gpt-3.5-turbo-1106,0.5,task_2.txt,0,0,0,0
2024-02-20~18:22:31,gpt-3.5-turbo-1106,0.5,task_2.txt,0,0,0,0
2024-02-20~18:22:32,gpt-3.5-turbo-1106,0.5,task_2.txt,0,1,0,0
2024-02-20~18:22:33,gpt-3.5-turbo-1106,0.5,task_2.txt,0,0,0,0
2024-02-20~18:22:34,gpt-3.5-turbo-1106,0.5,task_2.txt,0,0,0,0
2024-02-20~18:22:35,gpt-3.5-turbo-1106,0.5,task_2.txt,0,0,0,0
2024-02-20~18:22:36,gpt-3.5-turbo-1106,0.5,task_2.txt,0,1,0,0
2024-02-20~18:22:36,gpt-3.5-turbo-1106,0.5,task_2.txt,0,0,0,0
2024-02-20~18:22:37,gpt-3.5-turbo-1106,0.5,task_2.txt,0,0,0,1
2024-02-20~18:22:38,gpt-3.5-turbo-1106,0.5,task_2.txt,0,0,0,0
2024-02-20~18:22:39,gpt-3.5-turbo-1106,0.5,task_2.txt,0,0,1,0
2024-02-20~18:22:40,gpt-3.5-turbo-1106,0.5,task_2.txt,0,0,1,1
2024-02-20~18:22:41,gpt-3.5-turbo-1106,0.5,task_2.txt,0,1,0,0
2024-02-20~18:22:41,gpt-3.5-turbo-1106,0.5,task_2.txt,0,0,0,0
2024-02-20~18:22:42,gpt-3.5-turbo-1106,0.5,task_2.txt,0,0,0,0
2024-02-20~18:22:43,gpt-3.5-turbo-1106,0.5,task_2.txt,0,0,1,0
2024-02-20~18:22:44,gpt-3.5-turbo-1106,0.5,task_2.txt,0,0,0,0
2024-02-20~18:22:45,gpt-3.5-turbo-1106,0.5,task_2.txt,0,0,0,0
2024-02-20~18:22:45,gpt-3.5-turbo-1106,0.5,task_2.txt,0,0,0,0
2024-02-20~18:22:46,gpt-3.5-turbo-1106,0.5,task_2.txt,0,0,0,0
2024-02-20~18:22:47,gpt-3.5-turbo-1106,0.5,task_2.txt,0,0,1,0
2024-02-20~18:22:48,gpt-3.5-turbo-1106,0.5,task_2.txt,0,0,0,0
2024-02-20~18:22:49,gpt-3.5-turbo-1106,0.5,task_2.txt,0,0,0,0
2024-02-20~18:22:49,gpt-3.5-turbo-1106,0.5,task_2.txt,0,1,0,0
2024-02-20~18:22:50,gpt-3.5-turbo-1106,0.5,task_2.txt,0,0,0,0
2024-02-20~18:22:52,gpt-4-1106-preview,0.5,task_2.txt,0,0,0,0
2024-02-20~18:22:53,gpt-4-1106-preview,0.5,task_2.txt,0,0,1,0
2024-02-20~18:22:55,gpt-4-1106-preview,0.5,task_2.txt,0,0,1,0
2024-02-20~18:22:58,gpt-4-1106-preview,0.5,task_2.txt,0,0,0,0
2024-02-20~18:23:00,gpt-4-1106-preview,0.5,task_2.txt,0,0,0,0
2024-02-20~18:23:02,gpt-4-1106-preview,0.5,task_2.txt,0,0,0,0
2024-02-20~18:23:03,gpt-4-1106-preview,0.5,task_2.txt,0,0,1,0
2024-02-20~18:23:05,gpt-4-1106-preview,0.5,task_2.txt,0,0,0,0
2024-02-20~18:23:09,gpt-4-1106-preview,0.5,task_2.txt,0,0,0,0
2024-02-20~18:23:11,gpt-4-1106-preview,0.5,task_2.txt,0,0,0,0
2024-02-20~18:23:13,gpt-4-1106-preview,0.5,task_2.txt,0,0,0,0
2024-02-20~18:23:16,gpt-4-1106-preview,0.5,task_2.txt,0,0,0,0
2024-02-20~18:23:18,gpt-4-1106-preview,0.5,task_2.txt,0,0,0,0
2024-02-20~18:23:20,gpt-4-1106-preview,0.5,task_2.txt,0,0,0,0
2024-02-20~18:23:21,gpt-4-1106-preview,0.5,task_2.txt,0,0,1,0
2024-02-20~18:23:24,gpt-4-1106-preview,0.5,task_2.txt,0,0,0,0
2024-02-20~18:23:26,gpt-4-1106-preview,0.5,task_2.txt,0,0,1,0
2024-02-20~18:23:28,gpt-4-1106-preview,0.5,task_2.txt,0,0,1,0
2024-02-20~18:23:29,gpt-4-1106-preview,0.5,task_2.txt,0,0,0,0
2024-02-20~18:23:31,gpt-4-1106-preview,0.5,task_2.txt,0,0,0,0
2024-02-20~18:23:33,gpt-4-1106-preview,0.5,task_2.txt,0,0,1,0
2024-02-20~18:23:36,gpt-4-1106-preview,0.5,task_2.txt,0,0,0,0
2024-02-20~18:23:38,gpt-4-1106-preview,0.5,task_2.txt,0,0,0,0
2024-02-20~18:23:39,gpt-4-1106-preview,0.5,task_2.txt,0,0,0,0
2024-02-20~18:23:41,gpt-4-1106-preview,0.5,task_2.txt,0,0,0,0
2024-02-20~18:23:44,gpt-4-1106-preview,0.5,task_2.txt,0,0,0,0
2024-02-20~18:23:45,gpt-4-1106-preview,0.5,task_2.txt,0,0,0,0
2024-02-20~18:23:47,gpt-4-1106-preview,0.5,task_2.txt,0,0,0,0
2024-02-20~18:23:50,gpt-4-1106-preview,0.5,task_2.txt,0,0,0,0
2024-02-20~18:23:52,gpt-4-1106-preview,0.5,task_2.txt,0,0,0,0
2024-02-20~18:23:52,gpt-3.5-turbo-1106,0.5,task_3.txt,0,1,1,0
2024-02-20~18:23:53,gpt-3.5-turbo-1106,0.5,task_3.txt,0,1,0,0
2024-02-20~18:23:54,gpt-3.5-turbo-1106,0.5,task_3.txt,0,1,1,0
2024-02-20~18:23:55,gpt-3.5-turbo-1106,0.5,task_3.txt,0,0,1,0
2024-02-20~18:23:56,gpt-3.5-turbo-1106,0.5,task_3.txt,0,1,1,0
2024-02-20~18:23:57,gpt-3.5-turbo-1106,0.5,task_3.txt,0,1,1,0
2024-02-20~18:23:58,gpt-3.5-turbo-1106,0.5,task_3.txt,0,1,1,0
2024-02-20~18:23:58,gpt-3.5-turbo-1106,0.5,task_3.txt,0,0,1,1
2024-02-20~18:23:59,gpt-3.5-turbo-1106,0.5,task_3.txt,0,1,1,0
2024-02-20~18:24:00,gpt-3.5-turbo-1106,0.5,task_3.txt,0,1,0,0
2024-02-20~18:24:00,gpt-3.5-turbo-1106,0.5,task_3.txt,0,1,1,0
2024-02-20~18:24:01,gpt-3.5-turbo-1106,0.5,task_3.txt,0,0,1,0
2024-02-20~18:24:02,gpt-3.5-turbo-1106,0.5,task_3.txt,0,1,1,0
2024-02-20~18:24:03,gpt-3.5-turbo-1106,0.5,task_3.txt,0,1,1,0
2024-02-20~18:24:03,gpt-3.5-turbo-1106,0.5,task_3.txt,0,1,1,0
2024-02-20~18:24:04,gpt-3.5-turbo-1106,0.5,task_3.txt,0,1,1,0
2024-02-20~18:24:05,gpt-3.5-turbo-1106,0.5,task_3.txt,0,0,1,1
2024-02-20~18:24:06,gpt-3.5-turbo-1106,0.5,task_3.txt,0,1,1,0
2024-02-20~18:24:07,gpt-3.5-turbo-1106,0.5,task_3.txt,0,1,0,0
2024-02-20~18:24:07,gpt-3.5-turbo-1106,0.5,task_3.txt,0,0,1,0
2024-02-20~18:24:08,gpt-3.5-turbo-1106,0.5,task_3.txt,0,1,1,0
2024-02-20~18:24:09,gpt-3.5-turbo-1106,0.5,task_3.txt,0,1,1,0
2024-02-20~18:24:10,gpt-3.5-turbo-1106,0.5,task_3.txt,0,1,1,0
2024-02-20~18:24:10,gpt-3.5-turbo-1106,0.5,task_3.txt,0,1,1,0
2024-02-20~18:24:11,gpt-3.5-turbo-1106,0.5,task_3.txt,0,1,0,0
2024-02-20~18:24:12,gpt-3.5-turbo-1106,0.5,task_3.txt,0,1,0,0
2024-02-20~18:24:13,gpt-3.5-turbo-1106,0.5,task_3.txt,0,0,1,0
2024-02-20~18:24:13,gpt-3.5-turbo-1106,0.5,task_3.txt,0,1,1,0
2024-02-20~18:24:14,gpt-3.5-turbo-1106,0.5,task_3.txt,0,1,1,0
2024-02-20~18:24:15,gpt-3.5-turbo-1106,0.5,task_3.txt,0,0,1,0
2024-02-20~18:24:16,gpt-4-1106-preview,0.5,task_3.txt,0,0,0,0
2024-02-20~18:24:18,gpt-4-1106-preview,0.5,task_3.txt,0,0,0,0
2024-02-20~18:24:20,gpt-4-1106-preview,0.5,task_3.txt,0,1,0,0
2024-02-20~18:24:22,gpt-4-1106-preview,0.5,task_3.txt,0,1,0,0
2024-02-20~18:24:27,gpt-4-1106-preview,0.5,task_3.txt,0,1,0,0
2024-02-20~18:24:29,gpt-4-1106-preview,0.5,task_3.txt,0,1,0,0
2024-02-20~18:24:30,gpt-4-1106-preview,0.5,task_3.txt,0,0,0,0
2024-02-20~18:24:33,gpt-4-1106-preview,0.5,task_3.txt,0,1,0,0
2024-02-20~18:24:37,gpt-4-1106-preview,0.5,task_3.txt,0,0,0,0
2024-02-20~18:24:39,gpt-4-1106-preview,0.5,task_3.txt,0,0,0,0
2024-02-20~18:24:41,gpt-4-1106-preview,0.5,task_3.txt,0,0,0,0
2024-02-20~18:24:43,gpt-4-1106-preview,0.5,task_3.txt,0,0,0,0
2024-02-20~18:24:46,gpt-4-1106-preview,0.5,task_3.txt,0,1,0,0
2024-02-20~18:24:48,gpt-4-1106-preview,0.5,task_3.txt,0,1,0,0
2024-02-20~18:24:50,gpt-4-1106-preview,0.5,task_3.txt,0,0,0,0
2024-02-20~18:24:53,gpt-4-1106-preview,0.5,task_3.txt,0,0,0,0
2024-02-20~18:24:56,gpt-4-1106-preview,0.5,task_3.txt,0,0,0,0
2024-02-20~18:24:58,gpt-4-1106-preview,0.5,task_3.txt,0,0,0,0
2024-02-20~18:25:01,gpt-4-1106-preview,0.5,task_3.txt,0,0,0,0
2024-02-20~18:25:03,gpt-4-1106-preview,0.5,task_3.txt,0,0,0,0
2024-02-20~18:25:05,gpt-4-1106-preview,0.5,task_3.txt,0,1,0,0
2024-02-20~18:25:07,gpt-4-1106-preview,0.5,task_3.txt,0,0,0,0
2024-02-20~18:25:08,gpt-4-1106-preview,0.5,task_3.txt,0,0,0,0
2024-02-20~18:25:11,gpt-4-1106-preview,0.5,task_3.txt,0,1,0,0
2024-02-20~18:25:13,gpt-4-1106-preview,0.5,task_3.txt,0,0,0,0
2024-02-20~18:25:15,gpt-4-1106-preview,0.5,task_3.txt,0,0,0,0
2024-02-20~18:25:18,gpt-4-1106-preview,0.5,task_3.txt,0,1,0,0
2024-02-20~18:25:19,gpt-4-1106-preview,0.5,task_3.txt,0,1,0,0
2024-02-20~18:25:21,gpt-4-1106-preview,0.5,task_3.txt,0,1,0,0
2024-02-20~18:25:23,gpt-4-1106-preview,0.5,task_3.txt,0,1,0,0
2024-02-20~18:25:24,gpt-3.5-turbo-1106,0.5,task_4.txt,1,0,1,0
2024-02-20~18:25:25,gpt-3.5-turbo-1106,0.5,task_4.txt,1,0,1,0
2024-02-20~18:25:26,gpt-3.5-turbo-1106,0.5,task_4.txt,1,0,1,0
2024-02-20~18:25:27,gpt-3.5-turbo-1106,0.5,task_4.txt,1,0,1,0
2024-02-20~18:25:27,gpt-3.5-turbo-1106,0.5,task_4.txt,1,0,1,0
2024-02-20~18:25:28,gpt-3.5-turbo-1106,0.5,task_4.txt,1,0,1,0
2024-02-20~18:25:29,gpt-3.5-turbo-1106,0.5,task_4.txt,1,0,1,0
2024-02-20~18:25:30,gpt-3.5-turbo-1106,0.5,task_4.txt,1,0,1,0
2024-02-20~18:25:31,gpt-3.5-turbo-1106,0.5,task_4.txt,1,0,1,0
2024-02-20~18:25:32,gpt-3.5-turbo-1106,0.5,task_4.txt,1,0,1,0
2024-02-20~18:25:32,gpt-3.5-turbo-1106,0.5,task_4.txt,1,0,1,0
2024-02-20~18:25:33,gpt-3.5-turbo-1106,0.5,task_4.txt,1,0,1,0
2024-02-20~18:25:34,gpt-3.5-turbo-1106,0.5,task_4.txt,1,0,1,0
2024-02-20~18:25:35,gpt-3.5-turbo-1106,0.5,task_4.txt,1,0,1,0
2024-02-20~18:25:35,gpt-3.5-turbo-1106,0.5,task_4.txt,1,0,1,0
2024-02-20~18:25:36,gpt-3.5-turbo-1106,0.5,task_4.txt,1,0,1,0
2024-02-20~18:25:37,gpt-3.5-turbo-1106,0.5,task_4.txt,1,0,1,0
2024-02-20~18:25:38,gpt-3.5-turbo-1106,0.5,task_4.txt,1,0,1,0
2024-02-20~18:25:39,gpt-3.5-turbo-1106,0.5,task_4.txt,1,0,1,0
2024-02-20~18:25:40,gpt-3.5-turbo-1106,0.5,task_4.txt,1,0,1,0
2024-02-20~18:25:40,gpt-3.5-turbo-1106,0.5,task_4.txt,1,0,1,0
2024-02-20~18:25:41,gpt-3.5-turbo-1106,0.5,task_4.txt,1,0,1,0
2024-02-20~18:25:42,gpt-3.5-turbo-1106,0.5,task_4.txt,1,0,1,0
2024-02-20~18:25:43,gpt-3.5-turbo-1106,0.5,task_4.txt,1,0,1,0
2024-02-20~18:25:43,gpt-3.5-turbo-1106,0.5,task_4.txt,1,0,1,0
2024-02-20~18:25:44,gpt-3.5-turbo-1106,0.5,task_4.txt,1,0,1,0
2024-02-20~18:25:45,gpt-3.5-turbo-1106,0.5,task_4.txt,1,0,1,0
2024-02-20~18:25:46,gpt-3.5-turbo-1106,0.5,task_4.txt,1,0,1,0
2024-02-20~18:25:46,gpt-3.5-turbo-1106,0.5,task_4.txt,1,0,1,0
2024-02-20~18:25:47,gpt-3.5-turbo-1106,0.5,task_4.txt,1,0,1,0
2024-02-20~18:25:49,gpt-4-1106-preview,0.5,task_4.txt,1,0,1,0
2024-02-20~18:25:51,gpt-4-1106-preview,0.5,task_4.txt,1,0,1,0
2024-02-20~18:25:54,gpt-4-1106-preview,0.5,task_4.txt,1,0,1,0
2024-02-20~18:25:56,gpt-4-1106-preview,0.5,task_4.txt,1,0,1,0
2024-02-20~18:26:01,gpt-4-1106-preview,0.5,task_4.txt,1,0,1,0
2024-02-20~18:26:03,gpt-4-1106-preview,0.5,task_4.txt,1,0,1,0
2024-02-20~18:26:06,gpt-4-1106-preview,0.5,task_4.txt,1,0,1,0
2024-02-20~18:26:08,gpt-4-1106-preview,0.5,task_4.txt,1,0,1,0
2024-02-20~18:26:11,gpt-4-1106-preview,0.5,task_4.txt,1,0,1,0
2024-02-20~18:26:13,gpt-4-1106-preview,0.5,task_4.txt,1,0,1,0
2024-02-20~18:26:15,gpt-4-1106-preview,0.5,task_4.txt,1,0,1,0
2024-02-20~18:26:18,gpt-4-1106-preview,0.5,task_4.txt,1,0,1,0
2024-02-20~18:26:20,gpt-4-1106-preview,0.5,task_4.txt,1,0,1,0
2024-02-20~18:26:22,gpt-4-1106-preview,0.5,task_4.txt,1,0,1,0
2024-02-20~18:26:26,gpt-4-1106-preview,0.5,task_4.txt,1,0,1,0
2024-02-20~18:26:31,gpt-4-1106-preview,0.5,task_4.txt,1,0,1,0
2024-02-20~18:26:35,gpt-4-1106-preview,0.5,task_4.txt,1,0,1,0
2024-02-20~18:26:37,gpt-4-1106-preview,0.5,task_4.txt,1,0,1,0
2024-02-20~18:26:39,gpt-4-1106-preview,0.5,task_4.txt,1,0,1,0
2024-02-20~18:26:41,gpt-4-1106-preview,0.5,task_4.txt,1,0,1,0
2024-02-20~18:26:43,gpt-4-1106-preview,0.5,task_4.txt,1,0,1,0
2024-02-20~18:26:45,gpt-4-1106-preview,0.5,task_4.txt,1,0,1,0
2024-02-20~18:26:47,gpt-4-1106-preview,0.5,task_4.txt,1,0,1,0
2024-02-20~18:26:49,gpt-4-1106-preview,0.5,task_4.txt,1,0,1,0
2024-02-20~18:26:51,gpt-4-1106-preview,0.5,task_4.txt,1,0,1,0
2024-02-20~18:26:54,gpt-4-1106-preview,0.5,task_4.txt,1,0,1,0
2024-02-20~18:26:56,gpt-4-1106-preview,0.5,task_4.txt,1,0,1,0
2024-02-20~18:26:58,gpt-4-1106-preview,0.5,task_4.txt,1,0,1,0
2024-02-20~18:27:00,gpt-4-1106-preview,0.5,task_4.txt,1,0,1,0
2024-02-20~18:27:02,gpt-4-1106-preview,0.5,task_4.txt,1,0,1,0
2024-02-20~18:27:03,gpt-3.5-turbo-1106,0.5,task_5.txt,1,1,0,0
2024-02-20~18:27:04,gpt-3.5-turbo-1106,0.5,task_5.txt,1,1,0,0
2024-02-20~18:27:05,gpt-3.5-turbo-1106,0.5,task_5.txt,1,1,0,0
2024-02-20~18:27:05,gpt-3.5-turbo-1106,0.5,task_5.txt,1,1,0,0
2024-02-20~18:27:06,gpt-3.5-turbo-1106,0.5,task_5.txt,1,1,0,0
2024-02-20~18:27:07,gpt-3.5-turbo-1106,0.5,task_5.txt,1,1,0,0
2024-02-20~18:27:07,gpt-3.5-turbo-1106,0.5,task_5.txt,1,1,0,0
2024-02-20~18:27:08,gpt-3.5-turbo-1106,0.5,task_5.txt,1,1,0,0
2024-02-20~18:27:09,gpt-3.5-turbo-1106,0.5,task_5.txt,1,1,0,0
2024-02-20~18:27:10,gpt-3.5-turbo-1106,0.5,task_5.txt,1,1,0,0
2024-02-20~18:27:10,gpt-3.5-turbo-1106,0.5,task_5.txt,1,1,0,0
2024-02-20~18:27:11,gpt-3.5-turbo-1106,0.5,task_5.txt,1,1,0,0
2024-02-20~18:27:12,gpt-3.5-turbo-1106,0.5,task_5.txt,1,1,0,0
2024-02-20~18:27:13,gpt-3.5-turbo-1106,0.5,task_5.txt,1,1,0,0
2024-02-20~18:27:13,gpt-3.5-turbo-1106,0.5,task_5.txt,1,1,0,0
2024-02-20~18:27:14,gpt-3.5-turbo-1106,0.5,task_5.txt,1,1,0,0
2024-02-20~18:27:15,gpt-3.5-turbo-1106,0.5,task_5.txt,1,1,0,0
2024-02-20~18:27:16,gpt-3.5-turbo-1106,0.5,task_5.txt,1,1,0,0
2024-02-20~18:27:16,gpt-3.5-turbo-1106,0.5,task_5.txt,1,1,0,0
2024-02-20~18:27:17,gpt-3.5-turbo-1106,0.5,task_5.txt,1,1,0,0
2024-02-20~18:27:18,gpt-3.5-turbo-1106,0.5,task_5.txt,1,1,0,0
2024-02-20~18:27:19,gpt-3.5-turbo-1106,0.5,task_5.txt,1,1,0,0
2024-02-20~18:27:20,gpt-3.5-turbo-1106,0.5,task_5.txt,1,1,0,0
2024-02-20~18:27:21,gpt-3.5-turbo-1106,0.5,task_5.txt,1,1,0,0
2024-02-20~18:27:21,gpt-3.5-turbo-1106,0.5,task_5.txt,1,1,0,0
2024-02-20~18:27:22,gpt-3.5-turbo-1106,0.5,task_5.txt,1,1,0,0
2024-02-20~18:27:23,gpt-3.5-turbo-1106,0.5,task_5.txt,1,1,0,0
2024-02-20~18:27:23,gpt-3.5-turbo-1106,0.5,task_5.txt,1,1,0,0
2024-02-20~18:27:24,gpt-3.5-turbo-1106,0.5,task_5.txt,1,1,0,0
2024-02-20~18:27:25,gpt-3.5-turbo-1106,0.5,task_5.txt,1,1,0,0
2024-02-20~18:27:28,gpt-4-1106-preview,0.5,task_5.txt,0,1,0,0
2024-02-20~18:27:30,gpt-4-1106-preview,0.5,task_5.txt,0,1,0,0
2024-02-20~18:27:31,gpt-4-1106-preview,0.5,task_5.txt,1,0,0,0
2024-02-20~18:27:33,gpt-4-1106-preview,0.5,task_5.txt,1,0,0,0
2024-02-20~18:27:35,gpt-4-1106-preview,0.5,task_5.txt,0,1,0,0
2024-02-20~18:27:36,gpt-4-1106-preview,0.5,task_5.txt,0,1,0,0
2024-02-20~18:27:39,gpt-4-1106-preview,0.5,task_5.txt,0,1,0,0
2024-02-20~18:27:42,gpt-4-1106-preview,0.5,task_5.txt,1,1,0,0
2024-02-20~18:27:44,gpt-4-1106-preview,0.5,task_5.txt,1,0,0,0
2024-02-20~18:27:46,gpt-4-1106-preview,0.5,task_5.txt,1,1,0,0
2024-02-20~18:27:49,gpt-4-1106-preview,0.5,task_5.txt,1,0,0,0
2024-02-20~18:27:51,gpt-4-1106-preview,0.5,task_5.txt,0,1,0,0
2024-02-20~18:27:53,gpt-4-1106-preview,0.5,task_5.txt,0,1,0,0
2024-02-20~18:27:58,gpt-4-1106-preview,0.5,task_5.txt,1,0,0,0
2024-02-20~18:28:03,gpt-4-1106-preview,0.5,task_5.txt,0,1,0,0
2024-02-20~18:28:06,gpt-4-1106-preview,0.5,task_5.txt,1,0,0,0
2024-02-20~18:28:08,gpt-4-1106-preview,0.5,task_5.txt,0,1,0,0
2024-02-20~18:28:11,gpt-4-1106-preview,0.5,task_5.txt,0,1,0,0
2024-02-20~18:28:14,gpt-4-1106-preview,0.5,task_5.txt,0,1,0,0
2024-02-20~18:28:16,gpt-4-1106-preview,0.5,task_5.txt,1,1,0,0
2024-02-20~18:28:21,gpt-4-1106-preview,0.5,task_5.txt,0,1,0,0
2024-02-20~18:28:25,gpt-4-1106-preview,0.5,task_5.txt,1,0,0,0
2024-02-20~18:28:30,gpt-4-1106-preview,0.5,task_5.txt,0,1,0,0
2024-02-20~18:28:32,gpt-4-1106-preview,0.5,task_5.txt,1,0,0,0
2024-02-20~18:28:35,gpt-4-1106-preview,0.5,task_5.txt,1,1,0,0
